966.0654827;0;10.5;-12.948445;-38.43103;Video 5 - 1:21
892.3339094;6;10.6;-12.94844667;-38.43103;
1090.46486;6;10.9;-12.94845;-38.43103;
1139.771493;0;11.2;-12.94845333;-38.43103167;
1268.202115;0;11.2;-12.948455;-38.43103167;
1459.363601;6;11.3;-12.94845833;-38.43103333;
1527.783429;10;12;-12.94846;-38.43103333;
1340.195299;10;12.4;-12.94846333;-38.431035;
1626.755735;9;12.6;-12.94846667;-38.431035;
1577.568403;11;12.9;-12.94847;-38.43103667;
1878.355227;9;13.3;-12.94847167;-38.43103833;
2069.222436;12;13.3;-12.948475;-38.43104;
2340.705468;29.91;13.8;-12.94847833;-38.43104;
2491.23977;31.28;14.3;-12.94848167;-38.43104167;
2541.649655;29.91;14.8;-12.948485;-38.43104333;
2669.641704;29.91;15.5;-12.94848833;-38.431045;
2594.089934;31.28;15.4;-12.94849167;-38.43104833;
2641.058263;29.91;15.8;-12.948495;-38.43105;
2632.125441;12;16.7;-12.94849833;-38.43105167;
2687.043778;29.91;16.7;-12.94850167;-38.431055;
2625.778615;31.28;16.7;-12.948505;-38.43105667;
2684.440738;11;17.2;-12.94850833;-38.43106;
2636.662297;29.91;17.3;-12.94851167;-38.43106167;
2647.394863;29.91;17.4;-12.948515;-38.431065;
2548.208951;31.28;18;-12.94851833;-38.43106833;
2413.157678;31.28;18.1;-12.94852167;-38.43107;
2540.153277;32.65;18.2;-12.948525;-38.43107333;
2607.080135;32.65;19;-12.94852833;-38.43107667;
2643.178417;39.5;19.4;-12.94853167;-38.43108;
2573.907574;40.87;19.6;-12.948535;-38.431085;
2691.551092;36.76;20.1;-12.94853833;-38.43108833;
2744.293601;44.98;20.2;-12.94854167;-38.43109167;
2548.483912;43.61;20.2;-12.948545;-38.431095;
2543.79026;39.5;20.6;-12.94854833;-38.4311;
2598.057553;35.39;20.9;-12.94855167;-38.43110333;
2616.650367;31.28;21.3;-12.948555;-38.43110833;
2695.91979;34.02;21.4;-12.94855833;-38.43111167;
2813.365609;34.02;21.5;-12.94856167;-38.43111667;
2664.266331;34.02;22.1;-12.948565;-38.43112167;
2812.040797;12;22.1;-12.94856833;-38.43112667;
2803.744248;12;22.5;-12.94857167;-38.43113;
2715.706752;12;22.5;-12.94857333;-38.431135;
2833.441166;11;22.7;-12.94857667;-38.43114;
2768.838978;12;23.3;-12.94858;-38.431145;
2751.236933;11;23.4;-12.94858333;-38.43115;
2865.211654;10;23.3;-12.948585;-38.43115667;
2791.371005;29.91;24.3;-12.94858833;-38.43116167;
3008.423132;10;24.6;-12.94859167;-38.43116667;
2834.266049;10;25;-12.948595;-38.43117167;
2901.980295;8;25.5;-12.94859667;-38.43117833;
2836.740698;29.91;26.3;-12.9486;-38.43118333;
2841.807024;11;26.3;-12.94860167;-38.43119;
2879.706186;11;26.4;-12.948605;-38.43119667;
2959.164219;11;27;-12.94860833;-38.43120167;
2814.954019;31.28;27.1;-12.94861;-38.43120833;
2893.071333;29.91;27.2;-12.94861333;-38.431215;
2915.56473;31.28;27.7;-12.948615;-38.43122167;
2887.182397;10;28;-12.94861833;-38.43122833;
2839.766404;35.39;28;-12.94862;-38.431235;
2856.515162;31.28;28;-12.94862333;-38.43124167;
2932.102153;29.91;28;-12.94862667;-38.43124833;
2838.725643;29.91;28.4;-12.94862833;-38.431255;
2817.508202;32.65;28.7;-12.94863167;-38.43126167;
2945.800208;31.28;28.8;-12.94863333;-38.43126833;
3018.867103;29.91;28.8;-12.94863667;-38.431275;
3052.679346;29.91;28.9;-12.94864;-38.43128167;
2999.993647;31.28;29;-12.94864167;-38.43128833;
3045.107694;31.28;29;-12.948645;-38.43129667;
3051.991944;31.28;29.1;-12.94864833;-38.43130333;
2980.912266;29.91;29.2;-12.94865;-38.43131;
3028.857729;34.02;29.2;-12.94865333;-38.43131667;
3051.359079;11;29.9;-12.94865667;-38.43132333;
3026.294457;36.76;29.6;-12.94865833;-38.43133;
3090.224013;12;29.7;-12.94866167;-38.43133833;
3113.853612;29.91;30.1;-12.948665;-38.431345;
3184.928744;12;29.9;-12.94866833;-38.43135167;
3211.836286;12;30;-12.94867167;-38.43135833;
3138.810294;32.65;30.3;-12.94867333;-38.431365;
3262.284803;11;30.3;-12.94867667;-38.43137333;
3048.020917;31.28;30.4;-12.94868;-38.43138;
3042.001317;31.28;30.4;-12.94868333;-38.43138667;
3027.832875;31.28;30.5;-12.94868667;-38.43139333;
3122.879603;29.91;30.9;-12.94869;-38.43140167;
3220.036258;32.65;31;-12.94869333;-38.43140833;
3111.405096;32.65;31.1;-12.94869667;-38.431415;
3087.603931;32.65;31.1;-12.9487;-38.43142333;
3240.186805;32.65;31.1;-12.94870333;-38.43143;
3094.612027;34.02;31.1;-12.94870667;-38.43143667;
3082.009271;34.02;31.2;-12.94871;-38.43144333;
3013.380382;34.02;31.1;-12.94871333;-38.43145167;
3003.677215;34.02;31.1;-12.94871833;-38.43145833;
3025.641141;36.76;31.2;-12.94872167;-38.431465;
3007.184671;32.65;30.7;-12.948725;-38.43147167;
3000.290196;34.02;30.5;-12.94873;-38.43147833;
3029.161095;32.65;29.8;-12.94873333;-38.431485;
3076.692981;32.65;30.5;-12.94873667;-38.43149167;
2974.830176;35.39;30.6;-12.94874167;-38.43149833;
3026.094485;12;30.2;-12.948745;-38.431505;
3119.027877;34.02;30.1;-12.94875;-38.43151167;
3004.877044;35.39;30.4;-12.948755;-38.43151667;
2983.515306;34.02;30.1;-12.94876;-38.43152333;
2981.474686;38.13;30.1;-12.948765;-38.43152833;
3094.582485;29.91;30.1;-12.94877;-38.431535;
