;Load;Air Speed;Ground Speed
0;835.7693423;0.0;16.012761843952344
1;915.3818985;6.0;22.990433898258757
2;927.5710764;9.0;25.011199248777633
3;904.2221199;12.0;30.65449886771662
4;1060.82715;31.28;33.58985703117249
5;1326.757561;32.65;35.1277006831733
6;1302.44965;32.65;36.000370536054284
7;1357.331628;38.13;37.07447534733047
8;1572.423805;38.13;36.541860901110994
9;1230.6678;42.24;36.39566815078216
10;1471.398381;43.61;36.915883990082165
11;1669.592959;46.35;37.68465495377214
12;1992.538;39.5;37.56153384876173
13;2125.127123;38.13;36.52005358829325
14;2293.348684;36.76;34.45396844652839
15;2277.444125;34.02;33.26966691341229
16;2419.030834;34.02;33.674898071762215
17;2820.53858;32.65;36.25203972521104
18;2563.446686;29.91;38.08953291921304
19;2766.658732;40.87;40.535102452986614
20;2622.478074;42.24;42.30183725612353
21;2697.301538;40.87;42.62639013711504
22;2714.746787;42.24;42.493879295775315
23;2639.417714;54.57;40.87231281585423
24;2687.648363;47.72;42.51768781549506
25;2649.0493;46.35;42.93945646178967
26;2652.095458;46.35;42.49550194772427
27;2632.164198;51.83;43.39672993148935
28;2667.579623;44.98;43.30704145756149
29;2667.760279;38.13;44.181554580791975
30;2682.333209;36.76;44.253141744032455
31;2781.146447;36.76;45.69960635627316
32;2716.334062;39.5;46.1726149220219
33;2628.695373;44.98;47.417350400023935
34;2477.491849;46.35;47.699303899777924
35;2585.913949;38.13;48.0705251446526
36;2673.640126;51.83;47.96539864721549
37;2561.941218;55.94;48.97011169046404
38;2623.640409;50.46;49.717880538908894
39;2403.763684;62.79;50.0105134562733
40;2387.615977;65.53;50.33905343847849
41;2478.124713;60.05;50.30983036324849
42;2597.089635;60.05;49.896896456134094
43;2572.314744;60.05;49.88824832940097
44;2489.595811;58.68;49.67183243793503
45;2647.147298;53.2;49.32315361014754
46;2567.583598;64.16;49.85458947546115
47;2657.492419;51.83;49.61657895660493
48;2558.783712;62.79;48.98118024917931
49;2490.793368;62.79;50.64796678137637
50;2515.187631;61.42;51.63791721634484
51;2394.802457;61.42;51.71992439633896
52;2688.073303;60.05;51.79239530307329
53;2690.855862;57.31;51.07515979019496
54;2885.614564;58.68;50.29235036445585
55;2589.62365;58.68;50.59125017313812
56;2756.865805;57.31;50.97824503670799
57;2549.992915;58.68;51.2235601857685
58;2767.180249;49.09;51.593317190577345
59;2850.035527;57.31;51.13814323496647
60;2820.515856;58.68;50.002353696558366
61;2648.560733;55.94;49.542389915511265
62;2550.361044;58.68;49.31575612426092
63;2612.505627;58.68;49.106592045393946
64;2661.719092;51.83;48.77991829920189
65;2782.710998;47.72;47.92574748647923
66;2772.34997;42.24;46.69137557234158
67;3010.668394;42.24;44.979740010948916
68;3096.510747;43.61;41.387839903927414
69;3231.571109;34.02;37.19377044007643
70;3436.009118;10.0;33.578593353556805
71;3568.719815;11.0;30.565245964021326
72;3054.934834;10.0;27.23780015036677
73;3053.179401;9.0;25.664688257316598
74;2993.840102;7.0;26.211086155653526
75;3166.784857;7.0;27.27415037718588
76;3127.959689;6.0;27.378858235592357
77;3186.446837;10.0;29.260862562882863
78;3216.707311;8.0;28.85994529570516
79;3072.322137;7.0;28.425749572581132
80;2974.033824;9.0;28.68820772347212
81;2833.30154;10.0;29.66947348818753
82;2774.230384;31.28;33.128705452990765
83;2842.684298;29.91;36.40429121751315
84;2759.779028;38.13;38.98652903931219
85;2536.386893;46.35;41.236789624969724
86;2532.257934;42.24;43.32731358987085
87;2610.354796;44.98;44.66928286093822
88;2518.807571;46.35;46.11321711496741
89;2864.826608;40.87;47.36685695423325
90;2589.068047;46.35;46.25646902762389
91;2597.285061;43.61;45.61654821662073
92;2636.134089;47.72;45.713677605230195
93;2709.905429;39.5;45.25944150842383
94;2603.514858;46.35;45.02150970588473
95;2649.248136;43.61;44.57047805112739
96;2640.052851;40.87;43.74969605176056
97;2553.308353;49.09;42.77061183630918
98;2516.810128;53.2;42.62992600708351
99;2641.103838;43.61;42.75367428624526
100;2619.560307;42.24;43.349562332911425
101;2770.235497;34.02;43.242861455432475
102;2665.273132;46.35;44.07846937263028
103;2664.937953;42.24;45.12648530262872
104;2576.853872;46.35;44.72386711552151
105;2610.205954;47.72;44.181135708065355
106;2576.690259;44.98;44.559956239976344
107;2687.306367;43.61;44.76539358402772
108;2745.610586;43.61;45.37505666187111
109;2584.548234;46.35;45.67877754904214
110;2585.424246;44.98;45.416821464557984
111;2392.93454;53.2;45.11690527658779
112;2602.896764;50.46;45.43998130919501
113;2581.093043;44.98;45.91218316856127
114;2599.700627;46.35;46.48989495249665
115;2537.133378;42.24;47.60249280571431
116;2459.448957;49.09;48.93169453708173
117;2435.377376;54.57;49.962106365647706
118;2286.03495;58.68;50.77180165490245
119;2423.093893;51.83;51.11951357848634
120;2414.320139;54.57;51.94757321664144
121;2798.687138;49.09;51.57357295538688
122;2903.008685;40.87;50.15501093297906
123;2891.821637;38.13;47.72929891023775
124;3058.491147;32.65;44.93893436227461
125;3031.193887;34.02;42.08093790056406
126;2990.44513;39.5;40.63870759458505
127;3123.856863;36.76;37.46886151984823
128;3206.935972;29.91;34.3862769895475
129;3204.029567;6.0;31.29941113732863
130;3074.984259;0.0;27.568261764697937
131;2818.255949;0.0;20.76751105534958
132;2584.589137;0.0;16.277859445536016
133;2280.481194;0.0;10.771643013186175
