20.5;-12.94851;-38.43106833
21.4;-12.948515;-38.43107333
21.4;-12.94851833;-38.43107667
21.1;-12.94852167;-38.43108
21;-12.948525;-38.431085
21;-12.94852833;-38.43108833
21.1;-12.94853167;-38.43109333
21.7;-12.948535;-38.43109667
22.2;-12.94853833;-38.43110167
22.7;-12.94854167;-38.43110667
22.8;-12.948545;-38.43111
23.2;-12.94854833;-38.431115
23.5;-12.94855167;-38.43112
24.1;-12.948555;-38.431125
24.8;-12.94855833;-38.43113
25.4;-12.94856167;-38.43113667
26.2;-12.948565;-38.43114167
26.7;-12.94856833;-38.43114667
26.8;-12.94857167;-38.43115333
27.4;-12.94857333;-38.43116
28;-12.94857667;-38.43116667
28.8;-12.94858;-38.43117333
29.3;-12.94858333;-38.43118
30.1;-12.948585;-38.43118667
30.9;-12.94858833;-38.43119333
31.3;-12.94859167;-38.4312
31.9;-12.948595;-38.43120833
32.4;-12.94859667;-38.43121667
32.9;-12.9486;-38.43122333
33.4;-12.94860333;-38.43123167
33.5;-12.948605;-38.43124
34.1;-12.94860833;-38.43124833
34.1;-12.94861167;-38.43125667
34.1;-12.948615;-38.431265
34.2;-12.94861667;-38.43127167
34.4;-12.94862;-38.43128
34.4;-12.94862333;-38.43128833
34.5;-12.94862667;-38.43129667
35.1;-12.94862833;-38.431305
35.2;-12.94863167;-38.43131333
35.2;-12.948635;-38.43132333
35.3;-12.94863833;-38.43133167
35.4;-12.94864167;-38.43134
35.4;-12.948645;-38.43134833
35.8;-12.94864833;-38.43135667
35.8;-12.94865167;-38.431365
36.2;-12.948655;-38.43137333
36.1;-12.94865833;-38.43138167
36.1;-12.94866333;-38.43139
36.5;-12.94866667;-38.43139833
36.9;-12.94867;-38.43140667
36.8;-12.948675;-38.431415
36.8;-12.94868;-38.43142333
36.9;-12.948685;-38.43143167
36.8;-12.94869;-38.43144
36.9;-12.94869333;-38.43144667
37;-12.9487;-38.431455
37;-12.948705;-38.43146333
37.1;-12.94871;-38.43147167
37.1;-12.948715;-38.43147833
36.8;-12.94872;-38.43148667
36.7;-12.948725;-38.431495
36.5;-12.94873;-38.43150167
36.4;-12.94873667;-38.43151
36.3;-12.94874333;-38.43151667
36.2;-12.94875;-38.431525
36.1;-12.94875833;-38.43153167
36.2;-12.94876667;-38.43154
36.8;-12.94877333;-38.43154667
36.9;-12.94878167;-38.43155333
36.7;-12.94879;-38.43156
36.7;-12.94879667;-38.43156667
36.7;-12.948805;-38.43157333
35.7;-12.94881167;-38.43157833
35.8;-12.94882;-38.431585
36.4;-12.94882667;-38.43159
36.5;-12.948835;-38.431595
36.9;-12.94884167;-38.4316
37.1;-12.94885;-38.43160333
37.6;-12.94885833;-38.43160833
38;-12.94886667;-38.43161333
37.6;-12.948875;-38.43161667
37.1;-12.948885;-38.43162167
37.6;-12.94889333;-38.431625
37.5;-12.94890167;-38.43162833
37.8;-12.94891;-38.43163167
37.3;-12.94892;-38.431635
37.4;-12.94892833;-38.43163833
37.5;-12.94893667;-38.43164167
37.5;-12.94894667;-38.43164333
37.6;-12.948955;-38.43164667
37.8;-12.948965;-38.43165
37.8;-12.94897333;-38.43165167
37.9;-12.94898333;-38.431655
37.9;-12.94899167;-38.43165667
37.5;-12.94900167;-38.43165833
37.4;-12.94901167;-38.43165833
37.1;-12.94902;-38.43165833
37;-12.94903;-38.43166
36.7;-12.94904;-38.43166
36.6;-12.94904833;-38.43166
36.7;-12.94905833;-38.43166
36.1;-12.94906667;-38.43166
36;-12.949075;-38.43166167
35.4;-12.949085;-38.43166167
35.3;-12.94909333;-38.43166333
35.3;-12.94910167;-38.43166333
35.2;-12.94911167;-38.431665
34.6;-12.94912;-38.431665
34.3;-12.94912833;-38.431665
34;-12.94913667;-38.431665
33.9;-12.94914667;-38.431665
33.9;-12.949155;-38.43166333
33.8;-12.94916333;-38.43166333
33.8;-12.94917167;-38.43166167
33.7;-12.94918;-38.43166167
33.7;-12.94918833;-38.43166
32.7;-12.94919667;-38.43165833
32.6;-12.949205;-38.431655
32.7;-12.94921167;-38.43165333
33.1;-12.94922;-38.43165167
33.2;-12.94922833;-38.43164833
33.4;-12.949235;-38.431645
33.4;-12.94924333;-38.43164167
34.1;-12.94925167;-38.43163833
34.7;-12.94926;-38.431635
34;-12.94926667;-38.43163167
34.1;-12.949275;-38.43162833
34.9;-12.94928333;-38.431625
35.3;-12.94929167;-38.43162167
35.4;-12.9493;-38.43161833
35.8;-12.94930667;-38.431615
35.9;-12.949315;-38.43161
36.5;-12.94932333;-38.43160667
36.9;-12.94933167;-38.43160167
37.5;-12.94934;-38.43159833
37.6;-12.94934833;-38.43159333
37.7;-12.94935667;-38.43159
37.6;-12.949365;-38.431585
37.5;-12.94937333;-38.43158167
38;-12.94938167;-38.43157667
38.5;-12.94939;-38.43157167
38.6;-12.94939833;-38.43156667
39.2;-12.94940667;-38.43156167
39.3;-12.949415;-38.43155667
39.8;-12.94942333;-38.43155167
39.9;-12.94943167;-38.431545
40.6;-12.94944;-38.43154
40.6;-12.94945;-38.43153333
41.3;-12.94945667;-38.43152833
41.3;-12.949465;-38.43152167
41.4;-12.94947333;-38.431515
41.8;-12.94948333;-38.43150667
41.9;-12.94949167;-38.4315
41.9;-12.9495;-38.43149333
41.4;-12.94950833;-38.431485
42.9;-12.94951667;-38.43147667
43.3;-12.949525;-38.43146833
42.9;-12.94953333;-38.43146167
42.5;-12.94954167;-38.43145333
42.5;-12.94955;-38.431445
42.3;-12.94955833;-38.43143667
42.4;-12.949565;-38.43142833
42.5;-12.94957333;-38.43142
42.5;-12.94958167;-38.43141167
42.5;-12.94959;-38.43140333
42.5;-12.94959667;-38.431395
42.5;-12.949605;-38.43138667
43;-12.94961333;-38.43137833
43.1;-12.94962;-38.43136833
43.1;-12.94962667;-38.43136
