;Load;Air Speed;Ground Speed
0;878.2218986;0.0;27.314226013419482
1;1060.591451;0.0;21.675604823105722
2;1167.994378;0.0;26.070176776846232
3;1151.429686;0.0;26.794387214247447
4;1173.408382;0.0;29.45845188240589
5;1479.90235;0.0;28.941856296322815
6;1471.361518;0.0;29.799940049943885
7;1775.65239;6.0;29.196232826237345
8;1754.070228;8.0;30.710193034965258
9;2043.649553;7.0;30.697603747869845
10;2013.83447;9.0;30.391685854691442
11;2057.761186;10.0;29.887055102942085
12;2220.926647;9.0;29.93701636746933
13;2336.721564;9.0;30.046818863698963
14;2507.082595;10.0;29.559782790294932
15;2615.780793;9.0;30.086216390854883
16;2706.180453;7.0;30.32889727810369
17;2355.18826;9.0;30.594975865153017
18;2600.417066;10.0;32.41584012573993
19;2689.890722;29.91;33.210833181159934
20;2685.779942;29.91;33.77024368997333
21;2673.02948;34.02;33.98681444165816
22;2580.745996;39.5;34.142618636728464
23;2686.525291;36.76;34.32769314864952
24;2702.294642;39.5;34.270625946144634
25;2608.303446;40.87;32.259981446602985
26;2724.217664;35.39;30.8181572735928
27;2727.893279;12.0;33.1807555890279
28;2905.445333;10.0;32.91164054872381
29;2838.658228;31.28;31.540180411607892
30;2854.256013;8.0;31.698528829462028
31;2883.207583;6.0;31.399134672732547
32;3012.802813;7.0;31.913811740466297
33;2830.665046;7.0;31.597374976619644
34;2873.31467;0.0;31.468780322155496
35;2914.444055;6.0;31.796470053402537
36;2878.014002;6.0;32.48761747769552
37;2845.996959;6.0;33.085241239746786
38;2916.616474;7.0;32.899275150924595
39;3065.129472;0.0;32.74051157250113
40;3065.622583;0.0;32.6181454171594
41;2842.85536;8.0;33.26884299907147
42;2746.745147;12.0;33.93979081942078
43;2624.928357;29.91;34.45706476230098
44;2763.180312;11.0;35.1396011426039
45;2725.494756;29.91;35.17925618946538
46;2765.019824;34.02;35.17207575631573
47;2727.836469;38.13;35.04944776799542
48;2679.776249;35.39;35.480670989709665
49;2787.049649;12.0;35.52820415573021
50;2752.79656;11.0;35.382770597835325
51;2664.603404;35.39;35.53635509494182
52;2732.428998;31.28;35.64644312232321
53;2719.229736;40.87;35.747287979305625
54;2740.150629;34.02;36.0207573241401
55;2749.100494;34.02;36.34076678087049
56;2796.522168;29.91;36.53161771598246
57;2826.216814;12.0;36.176947477564376
58;2744.476151;35.39;36.03169177582214
59;2793.724838;36.76;36.467568514376175
60;2633.06811;39.5;36.71041893153741
