1504.075053;10;13.2;-12.949375;-38.43165667
1974.979761;9;13.3;-12.94938;-38.431655
2521.285123;10;13.5;-12.949385;-38.43165333
2647.723983;11;13.5;-12.94939;-38.43165
2787.829084;29.91;13.4;-12.949395;-38.43164833
2701.9481;12;13.5;-12.9494;-38.431645
2848.53069;31.28;13.3;-12.949405;-38.43164333
3120.543192;11;13.6;-12.94941;-38.43164
3175.880787;11;13.6;-12.949415;-38.43163833
3130.113424;35.39;13.9;-12.94942;-38.431635
3137.130609;31.28;13.9;-12.949425;-38.43163167
3168.535239;29.91;13.5;-12.94943;-38.43163
3238.938876;10;13.9;-12.94943333;-38.43162667
3282.773559;9;13.6;-12.94943833;-38.43162333
3210.901949;11;13.6;-12.94944333;-38.43162
3188.611933;29.91;14.1;-12.94944833;-38.43161667
3288.848833;10;14.1;-12.94945333;-38.43161333
3235.297348;9;13.6;-12.94945667;-38.43161
3226.33044;9;14;-12.94946167;-38.43160667
3360.692038;7;14;-12.94946667;-38.43160333
3429.382282;6;13.5;-12.94947;-38.4316
3453.823129;0;14.2;-12.949475;-38.43159667
3453.359558;0;14.3;-12.94948;-38.43159333
3475.07352;6;14;-12.949485;-38.43159
3427.893857;6;14;-12.94948833;-38.43158667
3390.565068;0;14.1;-12.94949333;-38.43158333
3418.463378;6;14.1;-12.94949833;-38.43157833
3436.152911;7;14.2;-12.94950167;-38.431575
3531.121241;6;14.2;-12.94950667;-38.43157167
3486.402592;6;14.2;-12.94951167;-38.43156833
3397.84926;6;14.2;-12.949515;-38.431565
3347.846135;7;14.2;-12.94952;-38.43156
3352.088714;6;14.3;-12.949525;-38.43155667
3386.150922;8;14.3;-12.94952833;-38.43155333
3357.384553;10;14.4;-12.94953333;-38.43155
3374.894566;8;14.6;-12.94953833;-38.431545
3415.072951;8;14.6;-12.94954167;-38.43154167
3425.638495;8;14.6;-12.94954667;-38.43153833
3397.18231;7;14.6;-12.94955167;-38.43153333
3306.223638;8;14.6;-12.949555;-38.43153
3397.48454;8;14.5;-12.94956;-38.431525
3418.155467;8;14.5;-12.949565;-38.43152167
